file_name;uiqm;uicm;uism;uiconm
Cam1_16_23_22_10_11_2020.mp4_00637.jpg;0.855470;2.648810;1.496900;0.788350
Cam1_16_23_22_10_11_2020.mp4_00638.jpg;0.836530;2.741190;1.505400;0.766260
Cam1_16_23_22_10_11_2020.mp4_00639.jpg;0.837510;2.754840;1.484900;0.768920
Cam1_16_23_22_10_11_2020.mp4_00640.jpg;0.843600;2.738330;1.486300;0.775570
Cam1_16_23_22_10_11_2020.mp4_00641.jpg;0.826220;2.736720;1.492700;0.756110
Cam1_16_23_22_10_11_2020.mp4_00642.jpg;0.823690;2.716370;1.441400;0.757730
Cam1_16_23_22_10_11_2020.mp4_00643.jpg;0.820610;2.710490;1.413800;0.756700
Cam1_16_23_22_10_11_2020.mp4_00644.jpg;0.821600;2.718100;1.488400;0.751570
Cam1_16_23_22_10_11_2020.mp4_00645.jpg;0.827430;2.738640;1.495600;0.757160
Cam1_16_23_22_10_11_2020.mp4_00646.jpg;0.816680;2.751770;1.445000;0.749520
Cam1_16_23_22_10_11_2020.mp4_00647.jpg;0.826020;2.798650;1.487300;0.755850
Cam1_16_23_22_10_11_2020.mp4_00648.jpg;0.826180;2.776170;1.468600;0.757730
